"Province","Lag_Numeric","Lag_Description","RR","Lower","Upper"
"เชียงราย",1,"Lag 1","0.998","0.9955","1.0005"
"เชียงใหม่",1,"Lag 1","1.0023","0.9991","1.0056"
"เพชรบูรณ์",1,"Lag 1","1.0076","0.9911","1.0243"
"เลย",1,"Lag 1","1.0007","0.9947","1.0066"
"แพร่",1,"Lag 1","1.0008","0.9943","1.0073"
"แม่ฮ่องสอน",1,"Lag 1","1.0006","0.9939","1.0073"
"กรุงเทพมหานคร",2,"Lag 2","1.0047","1.0023","1.0071"
"กาญจนบุรี",2,"Lag 2","1.0026","0.9971","1.0082"
"กำแพงเพชร",2,"Lag 2","1.0036","0.9905","1.0168"
"ขอนแก่น",2,"Lag 2","1.0021","0.9985","1.0057"
"จันทบุรี",2,"Lag 2","1.0112","0.9886","1.0342"
"ฉะเชิงเทรา",2,"Lag 2","1.0046","0.9975","1.0119"
"ชลบุรี",2,"Lag 2","1.0086","1.0034","1.0138"
"ตรัง",2,"Lag 2","1.0018","0.9747","1.0297"
"ตราด",2,"Lag 2","1.0159","0.991","1.0415"
"ตาก",2,"Lag 2","0.9961","0.9892","1.003"
"นครปฐม",2,"Lag 2","1.0117","1.0058","1.0177"
"นครพนม",2,"Lag 2","0.9976","0.991","1.0043"
"นครราชสีมา",2,"Lag 2","1.0071","1.0031","1.011"
"นครศรีธรรมราช",2,"Lag 2","0.9984","0.9863","1.0107"
"นครสวรรค์",2,"Lag 2","1.0064","1.0008","1.012"
"นราธิวาส",2,"Lag 2","1.003","0.9926","1.0136"
"น่าน",2,"Lag 2","1.0011","0.9966","1.0056"
"บุรีรัมย์",2,"Lag 2","1.0112","0.9995","1.0231"
"ปทุมธานี",2,"Lag 2","1.0073","1.0016","1.013"
"ประจวบคีรีขันธ์",2,"Lag 2","1.0061","0.9906","1.0218"
"ปราจีนบุรี",2,"Lag 2","1.0028","0.9956","1.01"
"พระนครศรีอยุธยา",2,"Lag 2","1.0034","0.9975","1.0093"
"พะเยา",2,"Lag 2","0.9969","0.9925","1.0014"
"พิจิตร",2,"Lag 2","1.0044","0.9891","1.0198"
"พิษณุโลก",2,"Lag 2","1.0057","1.0005","1.0108"
"ภูเก็ต",2,"Lag 2","0.9913","0.9704","1.0126"
"มุกดาหาร",2,"Lag 2","0.9742","0.9443","1.0051"
"ยะลา",2,"Lag 2","1.0022","0.9904","1.0141"
"ระยอง",2,"Lag 2","0.9981","0.9911","1.0051"
"ราชบุรี",2,"Lag 2","1.0029","0.9989","1.007"
"ลพบุรี",2,"Lag 2","1.0034","0.9915","1.0155"
"ลำปาง",2,"Lag 2","1.0014","0.9974","1.0053"
"ลำพูน",2,"Lag 2","1.002","0.9965","1.0074"
"สกลนคร",2,"Lag 2","1.001","0.9914","1.0107"
"สงขลา",2,"Lag 2","1.0038","0.996","1.0117"
"สตูล",2,"Lag 2","1.0029","0.9861","1.0199"
"สมุทรปราการ",2,"Lag 2","1.0042","0.9995","1.0089"
"สมุทรสงคราม",2,"Lag 2","1.0193","1.0073","1.0315"
"สระแก้ว",2,"Lag 2","1.0078","0.9992","1.0165"
"สุพรรณบุรี",2,"Lag 2","1.0003","0.9927","1.008"
"สุราษฎร์ธานี",2,"Lag 2","1.0077","0.9979","1.0177"
"สุโขทัย",2,"Lag 2","0.9964","0.9875","1.0055"
"หนองคาย",2,"Lag 2","0.998","0.993","1.0032"
"อุดรธานี",2,"Lag 2","1.0055","0.9986","1.0124"
"อุตรดิตถ์",2,"Lag 2","1.0033","0.9914","1.0153"
"อุทัยธานี",2,"Lag 2","1.005","0.9881","1.0222"
"อุบลราชธานี",2,"Lag 2","0.9982","0.995","1.0015"
"เชียงราย",2,"Lag 2","0.9982","0.9962","1.0003"
"เชียงใหม่",2,"Lag 2","0.9999","0.9973","1.0026"
"เพชรบูรณ์",2,"Lag 2","1.0004","0.986","1.0151"
"เลย",2,"Lag 2","0.9957","0.9908","1.0006"
"แพร่",2,"Lag 2","0.9985","0.9933","1.0037"
"แม่ฮ่องสอน",2,"Lag 2","1.0031","0.997","1.0092"
"กรุงเทพมหานคร",3,"Lag 3","1.003","0.9994","1.0066"
"กาญจนบุรี",3,"Lag 3","1.003","0.9947","1.0114"
"กำแพงเพชร",3,"Lag 3","1.0082","0.9903","1.0265"
"ขอนแก่น",3,"Lag 3","0.997","0.992","1.0021"
"จันทบุรี",3,"Lag 3","1.0155","0.9807","1.0515"
"ฉะเชิงเทรา",3,"Lag 3","0.9978","0.9877","1.0081"
"ชลบุรี",3,"Lag 3","1.0073","0.9996","1.0149"
"ตรัง",3,"Lag 3","0.9989","0.9606","1.0388"
"ตราด",3,"Lag 3","1.0091","0.9688","1.0511"
"ตาก",3,"Lag 3","0.996","0.986","1.0062"
"นครปฐม",3,"Lag 3","1.0119","1.0031","1.0207"
"นครพนม",3,"Lag 3","0.9943","0.9856","1.0032"
"นครราชสีมา",3,"Lag 3","1.002","0.9961","1.0079"
"นครศรีธรรมราช",3,"Lag 3","0.9859","0.9685","1.0036"
"นครสวรรค์",3,"Lag 3","0.9996","0.9916","1.0077"
"นราธิวาส",3,"Lag 3","1.0087","0.9936","1.0241"
"น่าน",3,"Lag 3","0.9992","0.9927","1.0058"
"บุรีรัมย์",3,"Lag 3","1.011","0.9946","1.0277"
"ปทุมธานี",3,"Lag 3","1.0098","1.0013","1.0184"
"ประจวบคีรีขันธ์",3,"Lag 3","0.9988","0.9759","1.0223"
"ปราจีนบุรี",3,"Lag 3","0.9977","0.9867","1.0087"
"พระนครศรีอยุธยา",3,"Lag 3","1.0014","0.9929","1.01"
"พะเยา",3,"Lag 3","0.9985","0.9919","1.0051"
"พิจิตร",3,"Lag 3","1.0038","0.9825","1.0255"
"พิษณุโลก",3,"Lag 3","1.0017","0.9941","1.0093"
"ภูเก็ต",3,"Lag 3","0.9868","0.9573","1.0173"
"มุกดาหาร",3,"Lag 3","0.968","0.9301","1.0075"
"ยะลา",3,"Lag 3","0.9984","0.9812","1.0159"
"ระยอง",3,"Lag 3","0.9908","0.9806","1.0012"
"ราชบุรี",3,"Lag 3","0.9986","0.9924","1.005"
"ลพบุรี",3,"Lag 3","0.9882","0.9715","1.0053"
"ลำปาง",3,"Lag 3","1.0021","0.9962","1.0081"
"ลำพูน",3,"Lag 3","1.0042","0.9961","1.0124"
"สกลนคร",3,"Lag 3","1.0029","0.9888","1.0172"
"สงขลา",3,"Lag 3","1.001","0.9897","1.0125"
"สตูล",3,"Lag 3","1.0041","0.9802","1.0286"
"สมุทรปราการ",3,"Lag 3","1.0043","0.9974","1.0111"
"สมุทรสงคราม",3,"Lag 3","1.0221","1.0039","1.0407"
"สระแก้ว",3,"Lag 3","1.0105","0.9968","1.0243"
"สุพรรณบุรี",3,"Lag 3","0.9977","0.9869","1.0087"
"สุราษฎร์ธานี",3,"Lag 3","1.0068","0.9929","1.021"
"สุโขทัย",3,"Lag 3","0.9912","0.9787","1.0038"
"หนองคาย",3,"Lag 3","0.9937","0.9866","1.0009"
"อุดรธานี",3,"Lag 3","1.0018","0.9918","1.012"
"อุตรดิตถ์",3,"Lag 3","1.0019","0.9834","1.0207"
"อุทัยธานี",3,"Lag 3","1.0104","0.9862","1.0352"
"อุบลราชธานี",3,"Lag 3","0.9939","0.9893","0.9985"
"เชียงราย",3,"Lag 3","0.9985","0.9953","1.0017"
"เชียงใหม่",3,"Lag 3","0.9984","0.9945","1.0023"
"เพชรบูรณ์",3,"Lag 3","0.9959","0.9765","1.0157"
"เลย",3,"Lag 3","0.9931","0.986","1.0002"
"แพร่",3,"Lag 3","0.998","0.9904","1.0056"
"แม่ฮ่องสอน",3,"Lag 3","1.0048","0.9952","1.0146"
"กรุงเทพมหานคร",4,"Lag 4","1.0018","0.9982","1.0053"
"กาญจนบุรี",4,"Lag 4","1.0025","0.9942","1.0108"
"กำแพงเพชร",4,"Lag 4","1.0109","0.9931","1.0291"
"ขอนแก่น",4,"Lag 4","0.9946","0.9895","0.9997"
"จันทบุรี",4,"Lag 4","1.0148","0.9799","1.051"
"ฉะเชิงเทรา",4,"Lag 4","0.9952","0.9851","1.0055"
"ชลบุรี",4,"Lag 4","1.0055","0.9979","1.0132"
"ตรัง",4,"Lag 4","0.9929","0.9547","1.0325"
"ตราด",4,"Lag 4","1.0008","0.9609","1.0424"
"ตาก",4,"Lag 4","0.9972","0.9872","1.0073"
"นครปฐม",4,"Lag 4","1.0099","1.0012","1.0187"
"นครพนม",4,"Lag 4","0.9945","0.9858","1.0033"
"นครราชสีมา",4,"Lag 4","0.9994","0.9936","1.0053"
"นครศรีธรรมราช",4,"Lag 4","0.9839","0.9665","1.0015"
"นครสวรรค์",4,"Lag 4","0.9966","0.9886","1.0047"
"นราธิวาส",4,"Lag 4","1.0108","0.9957","1.0261"
"น่าน",4,"Lag 4","0.9972","0.9907","1.0037"
"บุรีรัมย์",4,"Lag 4","1.01","0.9938","1.0264"
"ปทุมธานี",4,"Lag 4","1.0093","1.0008","1.0178"
"ประจวบคีรีขันธ์",4,"Lag 4","0.9971","0.9742","1.0206"
"ปราจีนบุรี",4,"Lag 4","0.996","0.9851","1.007"
"พระนครศรีอยุธยา",4,"Lag 4","0.9999","0.9914","1.0085"
"พะเยา",4,"Lag 4","0.9995","0.9929","1.0061"
"พิจิตร",4,"Lag 4","1.0042","0.9832","1.0257"
"พิษณุโลก",4,"Lag 4","0.9995","0.9919","1.0071"
"ภูเก็ต",4,"Lag 4","0.9899","0.9603","1.0204"
"มุกดาหาร",4,"Lag 4","0.9719","0.9344","1.011"
"ยะลา",4,"Lag 4","0.994","0.977","1.0114"
"ระยอง",4,"Lag 4","0.9907","0.9804","1.0011"
"ราชบุรี",4,"Lag 4","0.9966","0.9903","1.0029"
"ลพบุรี",4,"Lag 4","0.9841","0.9676","1.0008"
"ลำปาง",4,"Lag 4","1.0023","0.9963","1.0082"
"ลำพูน",4,"Lag 4","1.0042","0.996","1.0125"
"สกลนคร",4,"Lag 4","1.0039","0.9898","1.0182"
"สงขลา",4,"Lag 4","1.0002","0.9889","1.0115"
"สตูล",4,"Lag 4","1.0034","0.9799","1.0275"
"สมุทรปราการ",4,"Lag 4","1.0035","0.9967","1.0103"
"สมุทรสงคราม",4,"Lag 4","1.02","1.0018","1.0385"
"สระแก้ว",4,"Lag 4","1.0099","0.9962","1.0239"
"สุพรรณบุรี",4,"Lag 4","0.9983","0.9875","1.0092"
"สุราษฎร์ธานี",4,"Lag 4","1.0058","0.9917","1.02"
"สุโขทัย",4,"Lag 4","0.9911","0.9787","1.0037"
"หนองคาย",4,"Lag 4","0.9931","0.986","1.0003"
"อุดรธานี",4,"Lag 4","0.9997","0.9897","1.0099"
"อุตรดิตถ์",4,"Lag 4","1.0013","0.983","1.0201"
"อุทัยธานี",4,"Lag 4","1.0121","0.9883","1.0366"
"อุบลราชธานี",4,"Lag 4","0.9927","0.9881","0.9973"
"เชียงราย",4,"Lag 4","0.9989","0.9957","1.0022"
"เชียงใหม่",4,"Lag 4","0.9981","0.9943","1.002"
"เพชรบูรณ์",4,"Lag 4","0.9951","0.9761","1.0145"
"เลย",4,"Lag 4","0.9939","0.9868","1.001"
"แพร่",4,"Lag 4","0.9999","0.9923","1.0076"
"แม่ฮ่องสอน",4,"Lag 4","1.0056","0.996","1.0152"
"กรุงเทพมหานคร",5,"Lag 5","1.001","0.9986","1.0034"
"กาญจนบุรี",5,"Lag 5","1.001","0.9956","1.0064"
"กำแพงเพชร",5,"Lag 5","1.0116","0.9984","1.025"
"ขอนแก่น",5,"Lag 5","0.9947","0.9911","0.9983"
"จันทบุรี",5,"Lag 5","1.0091","0.986","1.0327"
"ฉะเชิงเทรา",5,"Lag 5","0.9967","0.9896","1.0039"
"ชลบุรี",5,"Lag 5","1.0033","0.9982","1.0085"
"ตรัง",5,"Lag 5","0.9836","0.9571","1.0109"
"ตราด",5,"Lag 5","0.9911","0.9666","1.0162"
"ตาก",5,"Lag 5","0.9996","0.9929","1.0064"
"นครปฐม",5,"Lag 5","1.0058","1","1.0117"
"นครพนม",5,"Lag 5","0.9982","0.9918","1.0046"
"นครราชสีมา",5,"Lag 5","0.9994","0.9955","1.0033"
"นครศรีธรรมราช",5,"Lag 5","0.9921","0.9802","1.0042"
"นครสวรรค์",5,"Lag 5","0.9973","0.9918","1.0029"
"นราธิวาส",5,"Lag 5","1.0093","0.9991","1.0196"
"น่าน",5,"Lag 5","0.995","0.9904","0.9996"
"บุรีรัมย์",5,"Lag 5","1.0082","0.997","1.0195"
"ปทุมธานี",5,"Lag 5","1.0057","1","1.0113"
"ประจวบคีรีขันธ์",5,"Lag 5","1.001","0.9856","1.0165"
"ปราจีนบุรี",5,"Lag 5","0.9977","0.9905","1.0049"
"พระนครศรีอยุธยา",5,"Lag 5","0.9989","0.9931","1.0047"
"พะเยา",5,"Lag 5","0.9999","0.9953","1.0045"
"พิจิตร",5,"Lag 5","1.0056","0.9911","1.0203"
"พิษณุโลก",5,"Lag 5","0.999","0.9939","1.0041"
"ภูเก็ต",5,"Lag 5","1.0004","0.9796","1.0217"
"มุกดาหาร",5,"Lag 5","0.9861","0.9576","1.0154"
"ยะลา",5,"Lag 5","0.9892","0.9778","1.0007"
"ระยอง",5,"Lag 5","0.9977","0.9907","1.0048"
"ราชบุรี",5,"Lag 5","0.9968","0.9927","1.0008"
"ลพบุรี",5,"Lag 5","0.9908","0.9795","1.0022"
"ลำปาง",5,"Lag 5","1.0017","0.9977","1.0058"
"ลำพูน",5,"Lag 5","1.0019","0.9963","1.0075"
"สกลนคร",5,"Lag 5","1.004","0.9944","1.0138"
"สงขลา",5,"Lag 5","1.0012","0.9935","1.009"
"สตูล",5,"Lag 5","1.0008","0.985","1.0168"
"สมุทรปราการ",5,"Lag 5","1.0018","0.9972","1.0065"
"สมุทรสงคราม",5,"Lag 5","1.0129","1.0011","1.0249"
"สระแก้ว",5,"Lag 5","1.0063","0.9974","1.0153"
"สุพรรณบุรี",5,"Lag 5","1.002","0.9945","1.0095"
"สุราษฎร์ธานี",5,"Lag 5","1.0045","0.9945","1.0146"
"สุโขทัย",5,"Lag 5","0.9962","0.9872","1.0052"
"หนองคาย",5,"Lag 5","0.9962","0.9911","1.0013"
"อุดรธานี",5,"Lag 5","0.9991","0.9922","1.006"
"อุตรดิตถ์",5,"Lag 5","1.0016","0.9899","1.0134"
"อุทัยธานี",5,"Lag 5","1.0103","0.9944","1.0265"
"อุบลราชธานี",5,"Lag 5","0.9945","0.9912","0.9978"
"เชียงราย",5,"Lag 5","0.9995","0.9974","1.0017"
"เชียงใหม่",5,"Lag 5","0.9991","0.9964","1.0018"
"เพชรบูรณ์",5,"Lag 5","0.998","0.9846","1.0116"
"เลย",5,"Lag 5","0.9982","0.9932","1.0031"
"แพร่",5,"Lag 5","1.0044","0.9991","1.0097"
"แม่ฮ่องสอน",5,"Lag 5","1.0052","0.9992","1.0113"
"กรุงเทพมหานคร",6,"Lag 6","1.0005","0.9975","1.0035"
"กาญจนบุรี",6,"Lag 6","0.9989","0.9923","1.0056"
"กำแพงเพชร",6,"Lag 6","1.011","0.9954","1.0268"
"ขอนแก่น",6,"Lag 6","0.9966","0.9921","1.0011"
"จันทบุรี",6,"Lag 6","1.0001","0.9736","1.0273"
"ฉะเชิงเทรา",6,"Lag 6","1.001","0.9921","1.0099"
"ชลบุรี",6,"Lag 6","1.0008","0.9944","1.0073"
"ตรัง",6,"Lag 6","0.9723","0.9404","1.0054"
"ตราด",6,"Lag 6","0.9805","0.9519","1.0099"
"ตาก",6,"Lag 6","1.0028","0.9948","1.0109"
"นครปฐม",6,"Lag 6","1.0004","0.993","1.0079"
"นครพนม",6,"Lag 6","1.0042","0.9964","1.0121"
"นครราชสีมา",6,"Lag 6","1.001","0.9962","1.0058"
"นครศรีธรรมราช",6,"Lag 6","1.0076","0.9928","1.0226"
"นครสวรรค์",6,"Lag 6","1.0006","0.9938","1.0074"
"นราธิวาส",6,"Lag 6","1.0054","0.993","1.0179"
"น่าน",6,"Lag 6","0.9927","0.9868","0.9986"
"บุรีรัมย์",6,"Lag 6","1.0058","0.9927","1.0192"
"ปทุมธานี",6,"Lag 6","1","0.993","1.007"
"ประจวบคีรีขันธ์",6,"Lag 6","1.0086","0.9907","1.0268"
"ปราจีนบุรี",6,"Lag 6","1.0018","0.9929","1.0107"
"พระนครศรีอยุธยา",6,"Lag 6","0.9981","0.9908","1.0055"
"พะเยา",6,"Lag 6","0.9999","0.9942","1.0056"
"พิจิตร",6,"Lag 6","1.0076","0.9902","1.0253"
"พิษณุโลก",6,"Lag 6","0.9997","0.9936","1.0058"
"ภูเก็ต",6,"Lag 6","1.0163","0.9899","1.0434"
"มุกดาหาร",6,"Lag 6","1.0075","0.971","1.0453"
"ยะลา",6,"Lag 6","0.984","0.9699","0.9983"
"ระยอง",6,"Lag 6","1.0097","1.0009","1.0184"
"ราชบุรี",6,"Lag 6","0.9984","0.9935","1.0034"
"ลพบุรี",6,"Lag 6","1.005","0.9906","1.0196"
"ลำปาง",6,"Lag 6","1.0008","0.9958","1.0058"
"ลำพูน",6,"Lag 6","0.9981","0.9913","1.0049"
"สกลนคร",6,"Lag 6","1.0035","0.9913","1.0159"
"สงขลา",6,"Lag 6","1.0036","0.9933","1.014"
"สตูล",6,"Lag 6","0.9969","0.9761","1.0181"
"สมุทรปราการ",6,"Lag 6","0.9996","0.9938","1.0054"
"สมุทรสงคราม",6,"Lag 6","1.0026","0.9878","1.0176"
"สระแก้ว",6,"Lag 6","1.0005","0.9897","1.0114"
"สุพรรณบุรี",6,"Lag 6","1.0078","0.9989","1.0168"
"สุราษฎร์ธานี",6,"Lag 6","1.0031","0.9907","1.0156"
"สุโขทัย",6,"Lag 6","1.0047","0.9943","1.0153"
"หนองคาย",6,"Lag 6","1.0018","0.9954","1.0083"
"อุดรธานี",6,"Lag 6","0.9995","0.991","1.0081"
"อุตรดิตถ์",6,"Lag 6","1.0024","0.9881","1.017"
"อุทัยธานี",6,"Lag 6","1.006","0.9869","1.0255"
"อุบลราชธานี",6,"Lag 6","0.9984","0.9942","1.0026"
"เชียงราย",6,"Lag 6","1.0002","0.9976","1.0029"
"เชียงใหม่",6,"Lag 6","1.001","0.9977","1.0043"
"เพชรบูรณ์",6,"Lag 6","1.0035","0.987","1.0203"
"เลย",6,"Lag 6","1.0048","0.9986","1.011"
"แพร่",6,"Lag 6","1.0106","1.0041","1.0171"
"แม่ฮ่องสอน",6,"Lag 6","1.0042","0.997","1.0115"
"กรุงเทพมหานคร",7,"Lag 7","1.0003","0.9941","1.0064"
"กาญจนบุรี",7,"Lag 7","0.9966","0.9826","1.0107"
"กำแพงเพชร",7,"Lag 7","1.0097","0.9809","1.0393"
"ขอนแก่น",7,"Lag 7","0.9993","0.9905","1.0083"
"จันทบุรี",7,"Lag 7","0.9894","0.9352","1.0468"
"ฉะเชิงเทรา",7,"Lag 7","1.0067","0.9891","1.0245"
"ชลบุรี",7,"Lag 7","0.9982","0.9852","1.0115"
"ตรัง",7,"Lag 7","0.9601","0.8988","1.0257"
"ตราด",7,"Lag 7","0.9695","0.9071","1.0362"
"ตาก",7,"Lag 7","1.0065","0.9899","1.0234"
"นครปฐม",7,"Lag 7","0.9943","0.9793","1.0095"
"นครพนม",7,"Lag 7","1.0115","0.9966","1.0266"
"นครราชสีมา",7,"Lag 7","1.0035","0.9935","1.0135"
"นครศรีธรรมราช",7,"Lag 7","1.027","0.9967","1.0581"
"นครสวรรค์",7,"Lag 7","1.0051","0.9916","1.0189"
"นราธิวาส",7,"Lag 7","1.0002","0.9751","1.026"
"น่าน",7,"Lag 7","0.9903","0.9788","1.002"
"บุรีรัมย์",7,"Lag 7","1.0032","0.9773","1.0299"
"ปทุมธานี",7,"Lag 7","0.9933","0.979","1.0078"
"ประจวบคีรีขันธ์",7,"Lag 7","1.0182","0.9809","1.0569"
"ปราจีนบุรี",7,"Lag 7","1.007","0.9884","1.0259"
"พระนครศรีอยุธยา",7,"Lag 7","0.9975","0.9827","1.0126"
"พะเยา",7,"Lag 7","0.9997","0.9885","1.0111"
"พิจิตร",7,"Lag 7","1.0099","0.9752","1.0458"
"พิษณุโลก",7,"Lag 7","1.0009","0.9885","1.0134"
"ภูเก็ต",7,"Lag 7","1.0351","0.9823","1.0907"
"มุกดาหาร",7,"Lag 7","1.033","0.9647","1.1061"
"ยะลา",7,"Lag 7","0.9787","0.9499","1.0083"
"ระยอง",7,"Lag 7","1.0242","1.0062","1.0425"
"ราชบุรี",7,"Lag 7","1.0009","0.9902","1.0117"
"ลพบุรี",7,"Lag 7","1.0232","0.9939","1.0533"
"ลำปาง",7,"Lag 7","0.9996","0.9896","1.0097"
"ลำพูน",7,"Lag 7","0.9934","0.9799","1.0072"
"สกลนคร",7,"Lag 7","1.0027","0.9783","1.0278"
"สงขลา",7,"Lag 7","1.0067","0.9862","1.0277"
